"surface","prov","n"
"TORONTO","ON",3134575
"MONTREAL","QC",2617477
"CALGARY","AB",1731560
"EDMONTON","AB",1402600
"OTTAWA","ON",1131350
"VANCOUVER","BC",1073826
"WINNIPEG","MB",1062945
"QUEBEC","QC",957427
"MISSISSAUGA","ON",800841
"HAMILTON","ON",662910
"SURREY","BC",617401
"LONDON","ON",593446
"LAVAL","QC",590857
"BRAMPTON","ON",579719
"HALIFAX","NS",542699
"GATINEAU","QC",439592
"SASKATOON","SK",387296
"BURNABY","BC",358890
"MARKHAM","ON",336318
"KITCHENER","ON",332936
"LONGUEUIL","QC",332585
"REGINA","SK",324537
"WINDSOR","ON",315392
"NORTH YORK","ON",296063
"SHERBROOKE","QC",294757
"RICHMOND","BC",289257
"VICTORIA","BC",255927
"OAKVILLE","ON",251094
"LEVIS","QC",246942
"TROIS-RIVIERES","QC",243752
"BURLINGTON","ON",237757
"VAUGHAN","ON",236218
"SCARBOROUGH","ON",234568
"RICHMOND HILL","ON",231664
"KELOWNA","BC",230424
"OSHAWA","ON",220210
"LANGLEY","BC",207371
"NORTH VANCOUVER","BC",203843
"KINGSTON","ON",199270
"GUELPH","ON",190370
"COQUITLAM","BC",189441
"BARRIE","ON",185569
"ABBOTSFORD","BC",177980
"WATERLOO","ON",170684
"CAMBRIDGE","ON",170616
"ST. JOHN'S","NL",169347
"ETOBICOKE","ON",164966
"THUNDER BAY","ON",159596
"RED DEER","AB",158785
"SAGUENAY","QC",158200
"TERREBONNE","QC",157611
"WHITBY","ON",156002
"GREATER SUDBURY / GRAND SUDBURY","ON",154980
"NANAIMO","BC",152402
"SAINT-JEAN-SUR-RICHELIEU","QC",147496
"BRANTFORD","ON",143342
"KAMLOOPS","BC",140952
"LETHBRIDGE","AB",139314
"DRUMMONDVILLE","QC",135120
"SAINT-JEROME","QC",133725
"MILTON","ON",131706
"BROSSARD","QC",130065
"ST. CATHARINES","ON",128708
"DELTA","BC",127861
"NIAGARA FALLS","ON",126915
"CHILLIWACK","BC",126096
"AJAX","ON",124441
"MONCTON","NB",124326
"PETERBOROUGH","ON",121672
"NEW WESTMINSTER","BC",118319
"PRINCE GEORGE","BC",117606
"REPENTIGNY","QC",115955
"GRANBY","QC",114019
"PICKERING","ON",112250
"MAPLE RIDGE","BC",111395
"SAINT JOHN","NB",111112
"SAULT STE. MARIE","ON",109757
"AIRDRIE","AB",106080
"SARNIA","ON",105085
"FREDERICTON","NB",103072
"SAANICH","BC",101732
"CHATHAM-KENT","ON",100942
"MEDICINE HAT","AB",100678
"CAPE BRETON","NS",100342
"NEWMARKET","ON",99584
"SAINT-HYACINTHE","QC",98697
"SHAWINIGAN","QC",95329
"GRANDE PRAIRIE","AB",92006
"STRATHCONA COUNTY","AB",91380
"MIRABEL","QC",91057
"ST. ALBERT","AB",87239
"RIMOUSKI","QC",83637
"BELLEVILLE","ON",81488
"WELLAND","ON",81393
"KAWARTHA LAKES","ON",80498
"NORTH BAY","ON",79532
"VERNON","BC",78726
"VICTORIAVILLE","QC",78569
"CLARINGTON","ON",78546
"BRANDON","MB",78019
"PORT COQUITLAM","BC",77847
"BLAINVILLE","QC",76450
"SALABERRY-DE-VALLEYFIELD","QC",75614
"NEPEAN","ON",74574
"CORNWALL","ON",73513
"MASCOUCHE","QC",72687
"AURORA","ON",70026
"ROUYN-NORANDA","QC",69918
"CHATEAUGUAY","QC",68018
"WOODSTOCK","ON",67863
"LANGFORD","BC",67193
"SAINT-EUSTACHE","QC",66715
"CHARLOTTETOWN","PE",65103
"ST CATHARINES","ON",64755
"YORK","ON",64617
"PENTICTON","BC",64266
"NORFOLK COUNTY","ON",63018
"WOOD BUFFALO","AB",62904
"WEST VANCOUVER","BC",62630
"CALEDON","ON",62054
"SPRUCE GROVE","AB",61492
"SOREL-TRACY","QC",61118
"VAUDREUIL-DORION","QC",60033
"BOUCHERVILLE","QC",59357
"CAMPBELL RIVER","BC",57921
"DOLLARD-DES-ORMEAUX","QC",57154
"TIMMINS","ON",56226
"SAINT-GEORGES","QC",55148
"VAL-D'OR","QC",53884
"MOOSE JAW","SK",53323
"COCHRANE","AB",52971
"POINTE-CLAIRE","QC",52485
"INNISFIL","ON",52103
"MAGOG","QC",51960
"COURTENAY","BC",51860
"THORNHILL","ON",51227
"ORILLIA","ON",50563
"PRINCE ALBERT","SK",50507
"ORLEANS","ON",50366
"STRATFORD","ON",50351
"MISSION","BC",50193
"EAST YORK","ON",49790
"SAINT-LAURENT","QC",49559
"ALMA","QC",49268
"WEST KELOWNA","BC",48740
"DARTMOUTH","NS",48066
"HALTON HILLS","ON",46562
"THETFORD MINES","QC",46370
"ROCKY VIEW COUNTY","AB",46182
"SAINTE-THERESE","QC",46035
"SUDBURY","ON",45967
"PORT MOODY","BC",45864
"LEDUC","AB",45541
"HALDIMAND COUNTY","ON",45172
"WASAGA BEACH","ON",44695
"COLLINGWOOD","ON",44545
"QUINTE WEST","ON",43503
"WOODBRIDGE","ON",43305
"FORT ERIE","ON",43136
"SAINT-HUBERT","QC",42669
"MONTREAL-NORD","QC",42654
"SAINTE-JULIE","QC",41978
"SHERWOOD PARK","AB",41636
"DIEPPE","NB",41620
"CHAMBLY","QC",41499
"LASALLE","QC",41341
"NORTH COWICHAN","BC",41228
"WHITEHORSE","YT",41079
"FORT SASKATCHEWAN","AB",41007
"GEORGINA","ON",40926
"PARKLAND COUNTY","AB",40675
"ST. THOMAS","ON",40338
"SAINT-CONSTANT","QC",40196
"OKOTOKS","AB",39789
"JOLIETTE","QC",39639
"VERDUN","QC",39497
"SEPT-ILES","QC",39418
"BOISBRIAND","QC",39300
"WHITCHURCH-STOUFFVILLE","ON",38412
"LUNENBURG","NS",38276
"GLOUCESTER","ON",37843
"BROCKVILLE","ON",37732
"LASALLE","ON",37709
"WHITE ROCK","BC",37599
"SAINT-LAMBERT","QC",37483
"GRIMSBY","ON",37340
"WHISTLER","BC",37086
"CONCEPTION BAY SOUTH","NL",36998
"OWEN SOUND","ON",36978
"KANATA","ON",36927
"SAINT-LEONARD","QC",36817
"LA PRAIRIE","QC",36273
"RIVIERE-DU-LOUP","QC",36192
"ORANGEVILLE","ON",35924
"HUNTSVILLE","ON",35720
"LEAMINGTON","ON",35375
"FORT ST. JOHN","BC",34842
"COBOURG","ON",34764
"NEW TECUMSETH","ON",34342
"BELOEIL","QC",34272
"CANMORE","AB",34006
"MOUNT PEARL","NL",33937
"CRANBROOK","BC",33838
"CHESTERMERE","AB",33614
"BAIE-COMEAU","QC",33441
"PORT ALBERNI","BC",33276
"CHICOUTIMI","QC",33190
"BRANT","ON",32894
"SAINT-LIN-LAURENTIDES","QC",32488
"COTE-SAINT-LUC","QC",32422
"LAKESHORE","ON",32412
"DORVAL","QC",32356
"EAST GWILLIMBURY","ON",31988
"THOROLD","ON",31930
"L'ASSOMPTION","QC",31556
"WESTMOUNT","QC",31366
"MONT-TREMBLANT","QC",31154
"CANDIAC","QC",31021
"FORT MCMURRAY","AB",30898
"PORT COLBORNE","ON",30870
"AMHERSTBURG","ON",30634
"CAMROSE","AB",30623
"STONEY CREEK","ON",30505
"CORNER BROOK","NL",30264
"TINY","ON",30171
"BRACEBRIDGE","ON",29882
"PARADISE","NL",29843
"BRADFORD WEST GWILLIMBURY","ON",29790
"SALMON ARM","BC",29538
"TILLSONBURG","ON",29412
"TECUMSEH","ON",29207
"SAINT-CHARLES-BORROMEE","QC",28999
"RED DEER COUNTY","AB",28973
"JONQUIERE","QC",28953
"RIVERVIEW","NB",28760
"SAINT-AUGUSTIN-DE-DESMAURES","QC",28760
"PEMBROKE","ON",28727
"MONT-ROYAL","QC",28622
"SQUAMISH","BC",28602
"PARKSVILLE","BC",28524
"VARENNES","QC",28433
"ESQUIMALT","BC",28290
"PRINCE EDWARD COUNTY","ON",28172
"MAPLE","ON",28136
"SAINTE-ADELE","QC",28029
"COWANSVILLE","QC",28001
"MIRAMICHI","NB",27771
"ORO-MEDONTE","ON",27736
"CHATHAM","ON",27631
"MIDLAND","ON",27490
"MONT-SAINT-HILAIRE","QC",27324
"CENTRE WELLINGTON","ON",26996
"SYLVAN LAKE","AB",26808
"SWIFT CURRENT","SK",26767
"BEAUMONT","AB",26671
"SUMMERSIDE","PE",26195
"SAINTE-MARTHE-SUR-LE-LAC","QC",25948
"KINGSVILLE","ON",25909
"EDMUNDSTON","NB",25756
"YELLOWKNIFE","NT",25716
"YARMOUTH","NS",25625
"PORTAGE LA PRAIRIE","MB",25616
"STEINBACH","MB",25549
"LACHUTE","QC",25469
"PIERREFONDS","QC",25368
"L'ANCIENNE-LORETTE","QC",25348
"SAINT-SAUVEUR","QC",25299
"MATANE","QC",25299
"UXBRIDGE","ON",25275
"GASPE","QC",25239
"YORKTON","SK",25037
"STONY PLAIN","AB",25033
"ESSEX","ON",24949
"POWELL RIVER","BC",24898
"SAINT-LAZARE","QC",24722
"MONT-LAURIER","QC",24722
"DEUX-MONTAGNES","QC",24576
"SAINTE-SOPHIE","QC",24543
"PITT MEADOWS","BC",24503
"COMOX","BC",24316
"SAINTE-AGATHE-DES-MONTS","QC",24275
"SAINT-BRUNO-DE-MONTARVILLE","QC",24080
"BATHURST","NB",23965
"ST THOMAS","ON",23871
"LACHINE","QC",23834
"PORT HOPE","ON",23830
"DOLBEAU-MISTASSINI","QC",23828
"BEAUHARNOIS","QC",23795
"GRAVENHURST","ON",23723
"SAINTE-CATHERINE","QC",23715
"LINCOLN","ON",23633
"EAST HANTS","NS",23618
"BECANCOUR","QC",23531
"TRURO","NS",23457
"SOOKE","BC",23344
"KINGS, SUBD. A","NS",23184
"VAL-DES-MONTS","QC",23151
"KENORA","ON",22987
"CLARENCE-ROCKLAND","ON",22694
"QUISPAMSIS","NB",22468
"LAKE COUNTRY","BC",22422
"SAINT-COLOMBAN","QC",22368
"RAWDON","QC",22349
"SIDNEY","BC",22266
"KIRKLAND","QC",22203
"CARLETON PLACE","ON",22076
"QUESNEL","BC",21963
"SAINTE-MARIE","QC",21792
"ANJOU","QC",21734
"AMOS","QC",21701
"BROMONT","QC",21646
"PETAWAWA","ON",21563
"COLCHESTER, SUBD. B","NS",21480
"SAINT-BASILE-LE-GRAND","QC",21470
"BEACONSFIELD","QC",21417
"HIGH RIVER","AB",21354
"GRAND FALLS-WINDSOR","NL",21326
"NORTH BATTLEFORD","SK",21290
"LAVALTRIE","QC",21159
"RUSSELL","ON",21097
"COLD LAKE","AB",21037
"WOOLWICH","ON",20880
"STRATHROY-CARADOC","ON",20782
"NELSON","BC",20760
"WILLIAMS LAKE","BC",20731
"BROOKS","AB",20664
"DAWSON CREEK","BC",20651
"KING","ON",20517
"MONTMAGNY","QC",20376
"TERRACE","BC",20126
"KINCARDINE","ON",20124
"LA TUQUE","QC",20123
"STITTSVILLE","ON",20080
"GRANDE PRAIRIE COUNTY NO. 1","AB",19938
"SELWYN","ON",19903
"SAINTE-ANNE-DES-PLAINES","QC",19802
"QUALICUM BEACH","BC",19785
"STRATHMORE","AB",19735
"BOWMANVILLE","ON",19715
"SAINT-RAYMOND","QC",19699
"ELLIOT LAKE","ON",19599
"METRO VANCOUVER A","BC",19566
"WETASKIWIN","AB",19518
"WINKLER","MB",19474
"SAINT-HIPPOLYTE","QC",19330
"SPRINGWATER","ON",19203
"WEST HANTS","NS",19190
"STOUFFVILLE","ON",19160
"SECHELT","BC",19052
"SOUTH FRONTENAC","ON",18906
"LACOMBE","AB",18895
"INGERSOLL","ON",18853
"TABER","AB",18771
"SMITHS FALLS","ON",18755
"SCUGOG","ON",18730
"PRINCE RUPERT","BC",18709
"LLOYDMINSTER (PART)","AB",18678
"POINTE-AUX-TREMBLES","QC",18674
"THOMPSON","MB",18628
"PREVOST","QC",18613
"SEVERN","ON",18535
"SAUGEEN SHORES","ON",18524
"MERCIER","QC",18514
"SUMMERLAND","BC",18476
"HAWKESBURY","ON",18410
"ESTEVAN","SK",18358
"STURGEON COUNTY","AB",18358
"SOUTH BRUCE PENINSULA","ON",18211
"PINCOURT","QC",18092
"NIAGARA-ON-THE-LAKE","ON",17904
"CHESTER","NS",17900
"COLWOOD","BC",17822
"FOOTHILLS COUNTY","AB",17800
"SAINTE-JULIENNE","QC",17774
"AMHERST","NS",17761
"GANDER","NL",17757
"SAINT-FELICIEN","QC",17750
"LAMBTON SHORES","ON",17707
"ROSEMERE","QC",17433
"ARNPRIOR","ON",17326
"SYDNEY","NS",17256
"ESSA","ON",17228
"OAK BAY","BC",17162
"MEAFORD","ON",17103
"BRIGHTON","ON",17068
"L'ILE-PERROT","QC",16988
"GEORGETOWN","ON",16979
"WILMOT","ON",16830
"FARNHAM","QC",16762
"NEW GLASGOW","NS",16749
"ROBERVAL","QC",16738
"SELKIRK","MB",16632
"WEYBURN","SK",16630
"THE BLUE MOUNTAINS","ON",16596
"SAINT-AMABLE","QC",16557
"MARIEVILLE","QC",16506
"SHEDIAC","NB",16436
"NORTH SAANICH","BC",16353
"LINDSAY","ON",16348
"LADYSMITH","BC",16339
"PERTH","ON",16323
"PONT-ROUGE","QC",16213
"TRACADIE","NB",16170
"NORTH GRENVILLE","ON",16122
"COTE SAINT-LUC","QC",16077
"LA MALBAIE","QC",16044
"GREATER NAPANEE","ON",16016
"CAMPBELLTON","NB",15937
"ROTHESAY","NB",15865
"RENFREW","ON",15790
"MUSKOKA LAKES","ON",15698
"PELHAM","ON",15686
"GODERICH","ON",15589
"RAMARA","ON",15546
"LOYALIST","ON",15522
"BRIDGEWATER","NS",15482
"PLESSISVILLE","QC",15444
"CENTRAL SAANICH","BC",15438
"STRATFORD","PE",15438
"MIDDLESEX CENTRE","ON",15294
"OROMOCTO","NB",15287
"WEST NIPISSING / NIPISSING OUEST","ON",15276
"ANCASTER","ON",15022
"HINTON","AB",14974
"COATICOOK","QC",14962
"DIGBY","NS",14939
"CASTLEGAR","BC",14843
"WOODSTOCK","NB",14809
"NOTRE-DAME-DES-PRAIRIES","QC",14783
"KIMBERLEY","BC",14754
"CARIGNAN","QC",14640
"STONEHAM-ET-TEWKESBURY","QC",14575
"MORDEN","MB",14561
"BELLE-BAIE","NB",14450
"TRENT HILLS","ON",14394
"DAUPHIN","MB",14388
"DYSART ET AL","ON",14380
"LES ILES-DE-LA-MADELEINE","QC",14378
"BOIS-DES-FILION","QC",14299
"CONTRECOEUR","QC",14286
"NICOLET","QC",14267
"BRADFORD","ON",14234
"UNIONVILLE","ON",14223
"MOUNTAIN VIEW COUNTY","AB",14217
"TRAIL","BC",14094
"OLDS","AB",14067
"KITIMAT","BC",14064
"WHITECOURT","AB",14026
"PENETANGUISHENE","ON",14021
"CANTLEY","QC",13915
"SAINT-ZOTIQUE","QC",13868
"BAIE-SAINT-PAUL","QC",13822
"BEDFORD","NS",13810
"SPRINGFIELD","MB",13808
"NORTH PERTH","ON",13762
"COLDSTREAM","BC",13741
"TRENTON","ON",13722
"YELLOWHEAD COUNTY","AB",13706
"LOUISEVILLE","QC",13698
"BROWNSBURG-CHATHAM","QC",13694
"ST. CLAIR","ON",13654
"AYLMER","ON",13568
"WARMAN","SK",13553
"MORINVILLE","AB",13534
"TRENT LAKES","ON",13528
"COLCHESTER, SUBD. C","NS",13522
"CHERTSEY","QC",13494
"QUEENS","NS",13418
"CLEARVIEW","ON",13398
"DUNDAS","ON",13395
"NOTRE-DAME-DE-L'ILE-PERROT","QC",13262
"MISSISSIPPI MILLS","ON",13224
"ACTON VALE","QC",13188
"DUNCAN","BC",13163
"HANOVER","ON",13087
"RIDEAU LAKES","ON",13078
"SALTSPRING ISLAND","BC",13030
"KAPUSKASING","ON",13025
"KIRKLAND LAKE","ON",13016
"KENTVILLE","NS",12948
"LA SARRE","QC",12934
"SAINT-REMI","QC",12926
"SOUTH GLENGARRY","ON",12915
"OSOYOOS","BC",12842
"SAINT-CALIXTE","QC",12812
"SEGUIN","ON",12723
"DELSON","QC",12707
"FORT FRANCES","ON",12695
"ROCKY MOUNTAIN HOUSE","AB",12603
"GIMLI","MB",12600
"KINGS, SUBD. B","NS",12548
"SIMCOE","ON",12518
"GEORGIAN BLUFFS","ON",12507
"SOUTH STORMONT","ON",12395
"CONCORD","ON",12381
"MINDEN HILLS","ON",12368
"CENTRAL ELGIN","ON",12344
"SUTTON","QC",12342
"VAL-DES-SOURCES","QC",12340
"INNISFAIL","AB",12313
"SAINT-APOLLINAIRE","QC",12291
"LEDUC COUNTY","AB",12241
"BONNYVILLE","AB",12175
"EDSON","AB",12139
"OUTREMONT","QC",12129
"BLACKFALDS","AB",12110
"CHIBOUGAMAU","QC",12094
"KESWICK","ON",12086
"REVELSTOKE","BC",12064
"L'ANGE-GARDIEN","QC",12051
"SAINT-BRUNO","QC",12044
"NORTHERN BRUCE PENINSULA","ON",12003
"DONNACONA","QC",11990
"RIGAUD","QC",11985
"OTTERBURN PARK","QC",11952
"MARTENSVILLE","SK",11927
"MERRITT","BC",11909
"DRUMHELLER","AB",11873
"HOPE","BC",11853
"DRYDEN","ON",11850
"CHELSEA","QC",11838
"SAINT-DONAT","QC",11820
"CRESTON","BC",11818
"L'EPIPHANIE","QC",11813
"PARRY SOUND","ON",11776
"ERIN","ON",11723
"WAINWRIGHT","AB",11721
"THAMES CENTRE","ON",11720
"COALDALE","AB",11709
"SAINTE-ANNE-DES-MONTS","QC",11685
"CARAQUET","NB",11664
"GRAND-SAULT / GRAND FALLS","NB",11648
"WEST GREY","ON",11630
"GIBSONS","BC",11620
"WEST LINCOLN","ON",11596
"SAINTE-BRIGITTE-DE-LAVAL","QC",11555
"SAINT-FELIX-DE-VALOIS","QC",11543
"SAINT-ADOLPHE-D'HOWARD","QC",11467
"GREY HIGHLANDS","ON",11444
"TAY","ON",11380
"LAC-MEGANTIC","QC",11372
"STEPHENVILLE","NL",11365
"THE NATION / LA NATION","ON",11306
"ANTIGONISH","NS",11286
"FERNIE","BC",11266
"BOLTON","ON",11263
"VANIER","ON",11251
"BOISCHATEL","QC",11237
"LACOMBE COUNTY","AB",11146
"CLARE","NS",11042
"PONOKA","AB",11002
"SHELBURNE","NS",10950
"MONT-JOLI","QC",10924
"LLOYDMINSTER (PART)","SK",10920
"OLIVER","BC",10914
"VAL-DAVID","QC",10888
"LA PECHE","QC",10846
"LA POCATIERE","QC",10844
"DRAYTON VALLEY","AB",10812
"AMQUI","QC",10808
"WELLINGTON NORTH","ON",10724
"LAC STE. ANNE COUNTY","AB",10702
"LABRADOR CITY","NL",10701
"COTEAU-DU-LAC","QC",10602
"MONO","ON",10585
"CLARENVILLE","NL",10582
"LORRAINE","QC",10566
"SHELBURNE","ON",10564
"VIEW ROYAL","BC",10558
"SAINT-PHILIPPE","QC",10558
"CHARLEMAGNE","QC",10473
"PEACE RIVER","AB",10457
"BROCK","ON",10456
"ALLISTON","ON",10422
"GANANOQUE","ON",10406
"RIVIERE-ROUGE","QC",10392
"LAC-BEAUPORT","QC",10389
"SOUTHERN GULF ISLANDS","BC",10368
"BEAUCEVILLE","QC",10359
"SOUTH HURON","ON",10266
"NORWICH","ON",10244
"BROCKTON","ON",10216
"GUELPH/ERAMOSA","ON",10170
"HAMPTON","NB",10168
"ANTIGONISH, SUBD. A","NS",10160
"TORBAY","NL",10147
"COURTICE","ON",10136
"ST. ANDREWS","MB",10130
"BEAUSOLEIL","NB",10110
"CAMROSE COUNTY","AB",10108
"ARGYLE","NS",10104
"ORFORD","QC",10069
"HANOVER","MB",10050
"CAP-ACADIE","NB",10048
"PORT-CARTIER","QC",10023
"PICTOU, SUBD. C","NS",10020
"BLUEWATER","ON",9988
"LEEDS AND THE THOUSAND ISLANDS","ON",9980
"WOLFVILLE","NS",9971
"SHEFFORD","QC",9965
"SMITHERS","BC",9960
"GUYSBOROUGH","NS",9936
"BANCROFT","ON",9932
"PRINCEVILLE","QC",9896
"CHANDLER","QC",9881
"SOUTH DUNDAS","ON",9874
"WATERLOO","QC",9797
"ALEXANDER","MB",9745
"SAINT-JEAN-DE-MATHA","QC",9691
"BERTHIERVILLE","QC",9618
"VEGREVILLE","AB",9587
"DOURO-DUMMER","ON",9583
"PEACHLAND","BC",9557
"NORTH GLENGARRY","ON",9500
"SAINT-PAUL","QC",9496
"SAINT-JOSEPH-DU-LAC","QC",9489
"LLOYDMINSTER","AB",9451
"MORIN-HEIGHTS","QC",9450
"LOWER SACKVILLE","NS",9444
"TEMISCOUATA-SUR-LE-LAC","QC",9418
"CYPRESS COUNTY","AB",9408
"HAPPY VALLEY-GOOSE BAY","NL",9397
"NORTH DUNDAS","ON",9396
"BANFF","AB",9392
"CARLETON NORTH","NB",9378
"CORNWALL","PE",9360
"ALGONQUIN HIGHLANDS","ON",9357
"TEMISKAMING SHORES","ON",9352
"ST. CLEMENTS","MB",9350
"LA BAIE","QC",9332
"COMOX VALLEY A","BC",9308
"WETASKIWIN COUNTY NO. 10","AB",9282
"BARRINGTON","NS",9277
"SAINT-LAMBERT-DE-LAUZON","QC",9248
"WATERDOWN","ON",9236
"IQALUIT","NU",9177
"TANTRAMAR","NB",9168
"BRAZEAU COUNTY","AB",9161
"SUSSEX","NB",9126
"RICHELIEU","QC",9110
"NOTRE-DAME-DU-MONT-CARMEL","QC",9095
"CAPITAL REGION / REGION-DE-LA-CAPITALE","NB",9060
"PUSLINCH","ON",9054
"BELLE RIVER","ON",9024
"LES CEDRES","QC",9003
"PONOKA COUNTY","AB",8989
"SAINT-CESAIRE","QC",8967
"MCMASTERVILLE","QC",8967
"PETROLIA","ON",8961
"WESTLOCK","AB",8944
"BEAUPRE","QC",8941
"KINGS, SUBD. C","NS",8938
"ST. STEPHEN","NB",8936
"NORTH DUMFRIES","ON",8920
"TWEED","ON",8891
"WELLESLEY","ON",8885
"LAC DU BONNET","MB",8856
"THREE RIVERS","PE",8856
"TACHE","MB",8806
"COMOX VALLEY C (PUNTLEDGE - BLACK CREEK)","BC",8720
"ALFRED AND PLANTAGENET","ON",8674
"WINDSOR","QC",8654
"STRATHROY","ON",8644
"SAINT-FERREOL-LES-NEIGES","QC",8641
"TSINSTIKEPTUM 9","BC",8630
"LES COTEAUX","QC",8612
"MONT-BLANC","QC",8608
"STETTLER","AB",8578
"COCHRANE","ON",8564
"SAINT-JOSEPH-DE-BEAUCE","QC",8535
"POINTE-CALUMET","QC",8534
"SHANNON","QC",8531
"INVERMERE","BC",8506
"LAC-BROME","QC",8488
"DEVON","AB",8440
"HURON-KINLOSS","ON",8420
"SLAVE LAKE","AB",8419
"HUMBOLDT","SK",8355
"GRAND FORKS","BC",8331
"SAINT-PIE","QC",8322
"CUMBERLAND, SUBD. C","NS",8320
"GREENFIELD PARK","QC",8315
"DEER LAKE","NL",8306
"HEBERTVILLE","QC",8303
"CAVAN MONAGHAN","ON",8280
"PARIS","ON",8271
"SAINTE-CATHERINE-DE-LA-JACQUES-CARTIER","QC",8220
"HUDSON","QC",8198
"PICTOU, SUBD. A","NS",8176
"LAURENTIAN VALLEY","ON",8148
"SAINTE-MARTINE","QC",8119
"ELIZABETHTOWN-KITLEY","ON",8110
"HIGHLANDS EAST","ON",8108
"WHEATLAND COUNTY","AB",8103
"FERGUS","ON",8102
"GOLDEN","BC",8091
"HURON EAST","ON",8082
"HAMPSTEAD","QC",8074
"REDCLIFF","AB",8063
"BONNYVILLE NO. 87","AB",8058
"CHAMPLAIN","ON",8046
"PLYMPTON-WYOMING","ON",8040
"MANIWAKI","QC",8033
"VERCHERES","QC",7949
"SALISBURY","NB",7943
"WAINFLEET","ON",7922
"LAC-ETCHEMIN","QC",7896
"PIEDMONT","QC",7880
"CENTRAL HURON","ON",7866
"THE PAS","MB",7859
"SAINT-COME","QC",7837
"ADJALA-TOSORONTIO","ON",7802
"EAST ST. PAUL","MB",7794
"ESPANOLA","ON",7793
"VANDERHOOF","BC",7791
"MIRAMICHI RIVER VALLEY","NB",7790
"NORTH KAWARTHA","ON",7788
"LAKE OF BAYS","ON",7782
"ARMSTRONG","BC",7753
"NANAIMO G","BC",7750
"CHATEAU-RICHER","QC",7718
"DRUMMOND/NORTH ELMSLEY","ON",7714
"EASTERN CHARLOTTE","NB",7690
"NIAGARA ON THE LAKE","ON",7688
"STONEWALL","MB",7684
"SAINT-TITE","QC",7654
"LANORAIE","QC",7653
"COWICHAN VALLEY B","BC",7648
"MELFORT","SK",7646
"COOKSHIRE-EATON","QC",7643
"PORTUGAL COVE-ST. PHILIP'S","NL",7634
"MEADOW LAKE","SK",7624
"SAINT-ROCH-DE-L'ACHIGAN","QC",7610
"ANNAPOLIS, SUBD. A","NS",7602
"MONTREAL-EST","QC",7596
"WARWICK","QC",7586
"SAINT-ALPHONSE-RODRIGUEZ","QC",7585
"HANWELL","NB",7554
"PERTH EAST","ON",7546
"CARIBOO L","BC",7516
"SIOUX LOOKOUT","ON",7484
"SAINTE-ANNE-DES-LACS","QC",7478
"ROCKLAND","ON",7478
"STANSTEAD","QC",7461
"EAST KOOTENAY F","BC",7434
"NIVERVILLE","MB",7425
"WEST PERTH","ON",7418
"GRAND BAY-WESTFIELD","NB",7415
"MANOTICK","ON",7387
"NAPANEE","ON",7380
"SAINT-BONIFACE","QC",7356
"PRESCOTT","ON",7349
"GRAND LAKE","NB",7348
"ALGOMA, UNORGANIZED, NORTH PART","ON",7328
"ZORRA","ON",7308
"NANAIMO F","BC",7296
"SAINT-MICHEL-DES-SAINTS","QC",7290
"SAINTE-ANNE-DE-BELLEVUE","QC",7272
"SENNETERRE","QC",7263
"SAINT-ISIDORE","QC",7261
"BECKWITH","ON",7250
"STONE MILLS","ON",7230
"CUMBERLAND, SUBD. B","NS",7218
"SAINT-ALEXIS-DES-MONTS","QC",7214
"CHATSWORTH","ON",7213
"MAPLE HILLS","NB",7194
"SWAN RIVER","MB",7189
"CLEARWATER COUNTY","AB",7182
"HASTINGS HIGHLANDS","ON",7180
"CROWSNEST PASS","AB",7162
"GLACE BAY","NS",7155
"CUMBERLAND, SUBD. D","NS",7132
"MCNAB/BRAESIDE","ON",7101
"TAY VALLEY","ON",7086
"COMOX VALLEY B (LAZO NORTH)","BC",7078
"WHITEWATER REGION","ON",7072
"SOUTHGATE","ON",7072
"WESTLOCK COUNTY","AB",7067
"SPARWOOD","BC",7056
"SAINT-DENIS-DE-BROMPTON","QC",7045
"WEST ST. PAUL","MB",7014
"VERMILION","AB",6977
"MEMRAMCOOK","NB",6976
"CENTRAL FRONTENAC","ON",6974
"BARRHEAD","AB",6956
"LETHBRIDGE COUNTY","AB",6919
"NANAIMO E","BC",6896
"NANAIMO A","BC",6892
"CARBONEAR","NL",6892
"ENDERBY","BC",6882
"MINTO","ON",6880
"METABETCHOUAN-LAC-A-LA-CROIX","QC",6876
"HALIBURTON","ON",6872
"BOWEN ISLAND","BC",6860
"WALLACEBURG","ON",6846
"SAINT-GERMAIN-DE-GRANTHAM","QC",6834
"SAINT-CYRILLE-DE-WENDOVER","QC",6819
"EAST ANGUS","QC",6800
"ST. MARYS","ON",6796
"SICAMOUS","BC",6791
"ROXTON POND","QC",6747
"OTONABEE-SOUTH MONAGHAN","ON",6732
"FUNDY","NB",6726
"SAINT-JACQUES","QC",6715
"EDWARDSBURGH/CARDINAL","ON",6704
"SHIPPAGAN","NB",6702
"SAINT-AGAPIT","QC",6696
"KEMPTVILLE","ON",6696
"DISRAELI","QC",6693
"SAINT-ANDRE-AVELLIN","QC",6691
"HERON BAY / BAIE-DES-HERONS","NB",6666
"MELVILLE","SK",6645
"MONTREAL-OUEST","QC",6644
"CALEDONIA","ON",6619
"LABELLE","QC",6616
"MAPLETON","ON",6616
"DEEP RIVER","ON",6612
"ASHFIELD-COLBORNE-WAWANOSH","ON",6606
"ALDERGROVE","BC",6602
"HAUTES-TERRES","NB",6588
"GEORGIAN BAY","ON",6564
"BEAURIVAGE","NB",6560
